modelo,prompt,metrica,valor,arquivo
corpus_split,Original,syllables_per_content_word,2.55556,metrics_corpus_split2_Original_8.json
corpus_split,Original,words_per_sentence,9.1,metrics_corpus_split2_Original_8.json
corpus_split,Original,noun_ratio,0.43956,metrics_corpus_split2_Original_8.json
corpus_split,Original,cw_freq_brwac,3.55117,metrics_corpus_split2_Original_8.json
corpus_split,Original,brunet,10.78986,metrics_corpus_split2_Original_8.json
corpus_split,Original,honore,962.623,metrics_corpus_split2_Original_8.json
corpus_split,Original,ttr,0.65048,metrics_corpus_split2_Original_8.json
corpus_split,Original,gunning_fox,15.28835,metrics_corpus_split2_Original_8.json
corpus_split,Original,flesch,-3.24784,metrics_corpus_split2_Original_9.json
corpus_split,Original,sentences_per_paragraph,23.0,metrics_corpus_split2_Original_9.json
corpus_split,Original,syllables_per_content_word,3.25,metrics_corpus_split2_Original_9.json
corpus_split,Original,words_per_sentence,45.08696,metrics_corpus_split2_Original_9.json
corpus_split,Original,noun_ratio,0.48216,metrics_corpus_split2_Original_9.json
corpus_split,Original,cw_freq_brwac,3.65364,metrics_corpus_split2_Original_9.json
corpus_split,Original,brunet,12.92514,metrics_corpus_split2_Original_9.json
corpus_split,Original,honore,976.09938,metrics_corpus_split2_Original_9.json
corpus_split,Original,ttr,0.68743,metrics_corpus_split2_Original_9.json
corpus_split,Original,gunning_fox,35.04539,metrics_corpus_split2_Original_9.json
gemini,"Identity,_Intent_and_Behaviour",flesch,63.77901,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,1.06,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,2.56113,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,9.49057,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,0.39165,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,4.19515,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",brunet,12.53819,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",honore,890.37593,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",ttr,0.68953,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",gunning_fox,16.28132,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_0.json"
gemini,"Identity,_Intent_and_Behaviour",flesch,42.83732,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,1.38462,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,2.88809,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,12.05556,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,0.45392,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,3.60308,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",brunet,11.78778,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",honore,1087.38612,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",ttr,0.74493,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",gunning_fox,21.50425,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_1.json"
gemini,"Identity,_Intent_and_Behaviour",flesch,47.419,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,1.36667,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,2.49091,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,17.82927,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,0.65253,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,2.77352,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",brunet,13.19995,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",honore,715.97934,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",ttr,0.66807,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",gunning_fox,21.68711,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_2.json"
gemini,"Identity,_Intent_and_Behaviour",flesch,54.06792,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,1.58621,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,2.66833,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,13.58696,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,0.4832,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,3.48224,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",brunet,12.11469,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",honore,1093.88806,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",ttr,0.69616,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",gunning_fox,20.85878,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_3.json"
gemini,"Identity,_Intent_and_Behaviour",flesch,56.6027,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
gemini,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,1.26923,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
gemini,"Identity,_Intent_and_Behaviour",syllables_per_content_word,2.61993,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
gemini,"Identity,_Intent_and_Behaviour",words_per_sentence,12.90909,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
gemini,"Identity,_Intent_and_Behaviour",noun_ratio,0.47418,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
gemini,"Identity,_Intent_and_Behaviour",cw_freq_brwac,3.337,"metrics_output_gemini_limpo_Identity,_Intent_and_Behaviour_4.json"
