modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
gpt-oss-120b,Tree_of_Thought,ttr,10,0.76491,0.03063,0.76407,0.04186,0.7496,0.79146,0.7,0.79974
gpt-oss-120b,Tree_of_Thought,gunning_fox,10,21.03315,2.65334,20.98415,3.34646,19.53278,22.87925,16.50099,25.64472
gpt-oss-120b,Tree_of_Thought,brunet,10,10.73057,0.67559,10.84509,0.86812,10.38861,11.25673,9.69343,11.47368
gpt-oss-120b,Tree_of_Thought,honore,10,1158.62711,207.96295,1249.0583,296.44717,984.64468,1281.09185,820.78185,1407.60256
gpt-oss-120b,Zero_Shot,flesch,7,40.53487,15.24151,40.15461,19.00413,32.1324,51.13653,16.44563,60.60598
gpt-oss-120b,Zero_Shot,words_per_sentence,7,15.68303,5.61847,16.7037,6.96704,11.90909,18.87613,7.50704,24.0
gpt-oss-120b,Zero_Shot,sentences_per_paragraph,7,1.30603,0.44981,1.02128,0.46045,1.0,1.46045,1.0,2.2
gpt-oss-120b,Zero_Shot,syllables_per_content_word,7,2.73942,0.35176,2.74931,0.4301,2.56181,2.99191,2.15281,3.16637
gpt-oss-120b,Zero_Shot,cw_freq_brwac,7,3.53575,0.86907,3.66505,0.86917,3.25172,4.12089,1.87704,4.46293
gpt-oss-120b,Zero_Shot,noun_ratio,7,0.50458,0.19096,0.4409,0.12538,0.40979,0.53517,0.30435,0.8969
gpt-oss-120b,Zero_Shot,ttr,7,0.73403,0.0854,0.71618,0.04158,0.69515,0.73673,0.64523,0.91304
gpt-oss-120b,Zero_Shot,gunning_fox,7,22.20059,2.79441,21.01583,4.25574,20.4513,24.70705,18.38743,25.68415
gpt-oss-120b,Zero_Shot,brunet,7,11.74292,2.31921,12.57588,1.14074,11.83953,12.98026,6.66798,13.31697
gpt-oss-120b,Zero_Shot,honore,7,954.30912,261.38331,873.20193,282.49131,784.15451,1066.64582,675.54701,1429.81423
qwen3-32b,"Identity,_Intent_and_Behaviour",flesch,10,45.83405,11.6064,44.03257,10.53368,41.05996,51.59364,23.745,68.26761
qwen3-32b,"Identity,_Intent_and_Behaviour",words_per_sentence,10,9.80847,2.70122,10.12166,3.20136,8.41961,11.62097,5.13187,13.32258
